"","release_year","genre_early_main","percent"
"402",1979,"Death Metal",0
"403",1980,"Death Metal",0
"404",1981,"Death Metal",0
"405",1982,"Death Metal",0
"406",1983,"Death Metal",0
"407",1984,"Death Metal",0.0153846153846154
"408",1985,"Death Metal",0.016
"409",1986,"Death Metal",0.0213333333333333
"410",1987,"Death Metal",0.0614657210401891
"411",1988,"Death Metal",0.0497737556561086
"412",1989,"Death Metal",0.132
"413",1990,"Death Metal",0.191176470588235
"414",1991,"Death Metal",0.307420494699647
"415",1992,"Death Metal",0.329113924050633
"416",1993,"Death Metal",0.342271293375394
"417",1994,"Death Metal",0.289308176100629
"418",1995,"Death Metal",0.264919941775837
"419",1996,"Death Metal",0.245337159253945
"420",1997,"Death Metal",0.238620689655172
"421",1998,"Death Metal",0.248110831234257
"422",1999,"Death Metal",0.23510292524377
"423",2000,"Death Metal",0.234358430540827
"424",2001,"Death Metal",0.241628959276018
"425",2002,"Death Metal",0.249045072574484
"426",2003,"Death Metal",0.235813366960908
"427",2004,"Death Metal",0.221736755871109
"428",2005,"Death Metal",0.2296947749612
"429",2006,"Death Metal",0.227495107632094
"430",2007,"Death Metal",0.211180124223602
"431",2008,"Death Metal",0.229514717581543
"432",2009,"Death Metal",0.237130801687764
"433",2010,"Death Metal",0.230837394771821
"434",2011,"Death Metal",0.244598098530683
"435",2012,"Death Metal",0.250644883920894
"436",2013,"Death Metal",0.255597014925373
"437",2014,"Death Metal",0.239981575310917
"438",2015,"Death Metal",0.231339332980413
"439",2016,"Death Metal",0.235294117647059
"440",2017,"Death Metal",0.24953095684803
"441",2018,"Death Metal",0.229635376260667
"442",1970,"Folk Metal",0
"443",1971,"Folk Metal",0
"444",1972,"Folk Metal",0
"445",1973,"Folk Metal",0
"446",1974,"Folk Metal",0
"447",1975,"Folk Metal",0
"448",1976,"Folk Metal",0
"449",1977,"Folk Metal",0
"450",1978,"Folk Metal",0
"451",1979,"Folk Metal",0
"452",1980,"Folk Metal",0
"453",1981,"Folk Metal",0
"454",1982,"Folk Metal",0
"455",1983,"Folk Metal",0
"456",1984,"Folk Metal",0.00307692307692308
"457",1985,"Folk Metal",0.00266666666666667
"458",1986,"Folk Metal",0
"459",1987,"Folk Metal",0.00236406619385343
"460",1988,"Folk Metal",0.00226244343891403
"461",1989,"Folk Metal",0
"462",1990,"Folk Metal",0.00183823529411765
"463",1991,"Folk Metal",0.00530035335689046
"464",1992,"Folk Metal",0.00632911392405063
"465",1993,"Folk Metal",0.0110410094637224
"466",1994,"Folk Metal",0.0125786163522013
"467",1995,"Folk Metal",0.0160116448326055
"468",1996,"Folk Metal",0.0186513629842181
"469",1997,"Folk Metal",0.0248275862068966
"470",1998,"Folk Metal",0.0314861460957179
"471",1999,"Folk Metal",0.0249187432286024
"472",2000,"Folk Metal",0.0233297985153765
"473",2001,"Folk Metal",0.0217194570135747
"474",2002,"Folk Metal",0.0252100840336134
"475",2003,"Folk Metal",0.0271122320302648
"476",2004,"Folk Metal",0.0245767340251229
"477",2005,"Folk Metal",0.0253491981376099
"478",2006,"Folk Metal",0.0318003913894325
"479",2007,"Folk Metal",0.0256728778467909
"480",2008,"Folk Metal",0.0298329355608592
"481",2009,"Folk Metal",0.0291139240506329
"482",2010,"Folk Metal",0.0310146211785556
"483",2011,"Folk Metal",0.0285220397579948
"484",2012,"Folk Metal",0.0232158211521926
"485",2013,"Folk Metal",0.0191231343283582
"486",2014,"Folk Metal",0.0234914785812989
"487",2015,"Folk Metal",0.0254102699841186
"488",2016,"Folk Metal",0.016281512605042
"489",2017,"Folk Metal",0.0231394621638524
"490",2018,"Folk Metal",0.0263770364623739
"491",1970,"Ambient",0
"492",1971,"Ambient",0
"493",1972,"Ambient",0
"494",1973,"Ambient",0
"495",1974,"Ambient",0
"496",1975,"Ambient",0
"497",1976,"Ambient",0
"498",1977,"Ambient",0
"499",1978,"Ambient",0
"500",1979,"Ambient",0
"501",1980,"Ambient",0
"502",1981,"Ambient",0
"503",1982,"Ambient",0
"504",1983,"Ambient",0
"505",1984,"Ambient",0
"506",1985,"Ambient",0
"507",1986,"Ambient",0
"508",1987,"Ambient",0
"509",1988,"Ambient",0
"510",1989,"Ambient",0
"511",1990,"Ambient",0.00367647058823529
"512",1991,"Ambient",0
"513",1992,"Ambient",0.00158227848101266
"514",1993,"Ambient",0.00315457413249211
"515",1994,"Ambient",0.00157232704402516
"516",1995,"Ambient",0.00436681222707424
"517",1996,"Ambient",0
"518",1997,"Ambient",0.00413793103448276
"519",1998,"Ambient",0.00377833753148615
"520",1999,"Ambient",0.00541711809317443
"521",2000,"Ambient",0.0031813361611877
"522",2001,"Ambient",0.00723981900452489
"523",2002,"Ambient",0.00305576776165011
"524",2003,"Ambient",0.00504413619167718
"525",2004,"Ambient",0.0070999453850355
"526",2005,"Ambient",0.00931195033626487
"527",2006,"Ambient",0.0063600782778865
"528",2007,"Ambient",0.00662525879917184
"529",2008,"Ambient",0.00636435958631663
"530",2009,"Ambient",0.00717299578059072
"531",2010,"Ambient",0.00354452813469207
"532",2011,"Ambient",0.00605012964563526
"533",2012,"Ambient",0.00902837489251935
"534",2013,"Ambient",0.0060634328358209
"535",2014,"Ambient",0.00829111008751727
"536",2015,"Ambient",0.0100582318687136
"537",2016,"Ambient",0.0078781512605042
"538",2017,"Ambient",0.0075046904315197
"539",2018,"Ambient",0.0139643134212568
